Id,Longitude,Latitude,Building Area,Floor_Label,Layout_Label,Building_Type_Label,Orientation_Label,Structure_Label,Decoration_Label,Elevator_Label,Ownership_Label,Total_Rooms,Num_Rooms,price
0,104.098081,30.700856,111.02,3,1,1,8,1,1,0,2,7,3,1.02
1,104.095289,30.659389,144.42,3,1,2,2,2,3,1,1,8,4,2
2,104.098081,30.700856,271.09,1,3,2,2,3,2,1,1,16,7,3.5
3,104.095289,30.659389,113.41,2,1,1,2,4,2,0,1,8,3,1.13
4,104.098081,30.700856,123.7,2,1,3,8,3,1,1,1,8,3,1.8
5,104.154494,30.682061,80.64,1,1,1,2,3,3,1,1,6,2,1.75
6,104.100279,30.690814,134.06,2,1,3,6,3,2,0,1,8,3,2.13
7,104.098081,30.700856,91.3,1,1,2,6,3,3,1,1,6,3,2.05
8,104.112556,30.71579,111.07,3,1,2,8,3,3,1,1,7,3,1.63
9,104.119655,30.685033,92.3,2,1,3,6,3,3,1,1,6,3,1.8
10,104.098081,30.700856,89.83,3,1,2,6,3,2,1,1,7,3,1.69
11,104.124802,30.656514,119.46,2,1,1,9,3,3,1,1,7,3,1.88
12,104.129414,30.674622,89.06,1,1,2,5,3,2,1,1,7,3,1.65
13,104.124802,30.656514,47.45,1,1,1,2,3,2,0,2,4,1,0.45
14,104.098081,30.700856,78.33,3,1,2,6,3,3,1,1,5,2,1.395
15,104.121852,30.654267,112.7,3,1,1,5,2,3,1,1,8,3,2.13
16,104.095289,30.659389,145.1,3,1,1,6,1,2,0,1,8,3,1.33
17,104.121852,30.654267,67.12,1,1,3,9,3,3,1,2,5,2,1.285
18,104.119655,30.685033,91.71,3,1,1,6,3,2,0,1,6,3,0.8
19,104.124802,30.656514,68.57,2,1,2,3,3,3,1,3,5,2,0.92
20,104.105439,30.673457,57.43,2,1,1,1,1,2,0,1,5,2,0.66
21,104.112556,30.71579,71.33,1,1,3,2,3,3,1,1,6,3,1.3
22,104.119655,30.685033,110.92,3,1,1,9,2,1,1,1,7,3,1.68
23,104.177749,30.704315,90.2,3,1,2,4,3,2,1,1,7,3,1.55
24,104.098081,30.700856,75.96,1,1,2,6,3,3,1,1,5,2,1.42
25,104.121852,30.654267,88.39,1,1,3,8,3,2,1,1,6,3,2.12
26,104.129414,30.674622,90.4,3,1,2,6,3,2,1,1,7,3,1.78
27,104.177749,30.704315,129.2,2,2,2,6,2,2,0,1,8,3,1.388
28,104.112231,30.662037,66.52,3,1,2,2,3,3,1,1,6,2,1.6
29,104.098081,30.700856,74.42,2,1,1,2,1,2,0,1,5,2,0.738
30,104.095289,30.659389,80.82,2,1,1,3,4,3,0,1,6,3,1.12
31,104.119655,30.685033,139.68,3,3,1,6,3,2,0,1,9,4,1.645
32,104.098081,30.700856,137.57,3,1,2,6,3,3,1,1,8,4,2.9
33,104.154494,30.682061,73.92,1,1,3,6,2,3,1,1,6,3,1.72
34,104.119655,30.685033,122.76,2,2,1,1,3,2,1,1,7,3,1.98
35,104.100279,30.690814,54.79,3,3,1,2,4,3,0,1,5,2,0.78
36,104.158901,30.642585,78.13,3,1,2,4,3,3,1,1,6,3,1.57
37,104.119655,30.685033,77,3,1,1,9,1,2,0,1,6,2,0.86
38,104.124802,30.656514,88.97,3,1,2,9,3,1,1,1,8,3,2.15
39,104.121852,30.654267,89.83,2,1,3,3,3,3,1,1,7,3,2.3
40,104.147357,30.635151,86.11,3,1,3,3,2,3,1,3,5,2,1.06
41,104.121852,30.654267,90.16,3,1,3,1,3,3,1,1,5,2,2.05
42,104.100279,30.690814,86.12,2,1,2,3,2,2,1,1,6,2,1.588
43,104.121852,30.654267,67.78,2,1,3,9,3,1,1,2,6,2,1.19
44,104.112231,30.662037,68.74,2,1,3,2,2,2,1,1,5,2,1.2
45,104.121852,30.654267,60.44,2,1,2,3,2,3,1,1,5,2,1.12
46,104.121852,30.654267,82.93,2,1,2,2,2,3,1,1,5,2,1.55
47,104.098081,30.700856,71.23,2,1,1,2,3,2,0,1,6,2,0.72
48,104.154494,30.682061,55.79,2,1,2,9,3,2,1,1,4,1,0.72
49,104.112231,30.662037,67.5,2,1,2,9,3,3,1,1,5,2,1.65
50,104.112556,30.71579,71.62,3,1,3,4,3,2,1,1,6,2,1.35
51,104.098081,30.700856,44.71,3,1,1,2,1,1,0,1,4,1,0.39
52,104.098081,30.700856,84.3,3,1,1,2,2,2,0,1,5,2,0.878
53,104.124802,30.656514,75.21,2,1,2,10,2,2,1,1,5,2,1.29
54,104.112556,30.71579,67.48,3,1,3,4,3,2,1,1,5,2,1.2
55,104.121852,30.654267,87.85,1,1,2,5,2,2,1,1,5,2,1.58
56,104.121852,30.654267,124,2,1,4,6,3,2,0,1,7,3,1.79
57,104.098081,30.700856,78.79,2,1,2,2,3,2,1,1,5,2,1.25
58,104.158901,30.642585,62.74,3,1,3,2,2,3,1,1,5,2,1.18
59,104.098081,30.700856,93.14,3,1,2,1,3,3,1,1,9,3,1.85
60,104.147357,30.635151,53.41,3,1,3,6,2,1,1,3,4,1,0.68
61,104.112556,30.71579,68.58,3,1,3,4,2,2,1,1,5,2,1.17
62,104.098081,30.700856,74.58,2,1,1,9,1,1,0,2,5,2,0.76
63,104.098081,30.700856,88.57,1,1,3,2,2,3,1,1,7,3,1.68
64,104.095289,30.659389,72.2,2,1,1,6,1,2,0,5,5,2,0.76
65,104.095289,30.659389,91.91,2,1,1,1,1,2,0,1,6,3,1.09
66,104.095289,30.659389,74.87,2,1,1,6,1,3,0,5,6,3,0.73
67,104.112556,30.71579,84.08,1,1,2,4,3,2,1,1,6,3,1.37
68,104.154494,30.682061,56.39,3,1,1,1,1,2,0,5,5,2,0.53
69,104.098081,30.700856,98.71,3,1,2,5,2,3,1,3,6,3,1.468
70,104.098081,30.700856,77.7,2,1,2,10,3,3,1,1,5,2,1.46
71,104.112231,30.662037,64.85,3,1,1,9,3,2,0,1,7,3,0.54
72,104.098081,30.700856,81.8,2,1,3,5,2,3,1,1,5,2,1.43
73,104.112556,30.71579,70.99,2,1,2,6,3,2,1,1,6,3,1.23
74,104.095289,30.659389,80.54,2,1,3,6,3,3,1,1,5,2,1
75,104.112556,30.71579,88.09,2,1,3,6,3,3,1,1,6,3,1.64
76,104.154494,30.682061,85.83,1,1,1,9,3,3,1,1,7,3,1.89
77,104.100279,30.690814,106.97,2,1,1,6,1,2,0,1,6,3,1.45
78,104.121852,30.654267,89.83,1,1,3,1,2,3,1,1,6,3,2.05
79,104.177749,30.704315,83.93,3,1,2,5,3,3,1,1,6,3,1.495
80,104.129414,30.674622,110.61,3,1,2,10,3,3,1,1,7,3,1.989
81,104.100279,30.690814,89.27,3,1,3,2,3,2,1,1,9,4,1.86
82,104.098081,30.700856,91.61,2,1,2,6,3,3,1,1,6,3,2.18
